t,date,version,fit_id,a,c,fallback_reason,rank_ic,pearson_ic,valid_stocks,correct_directions,active_directions,zero_predictions,zero_targets,positive_targets,negative_targets,mse
440,2025-10-30,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,0.3235582306830907,0.32229458042962605,95,61,95,0,0,40,55,0.003197225340975144
441,2025-10-31,V5,V5-2025-10-09-L0.1-H60,0.0009079768276019429,0.007985270442574523,,0.2196108622620381,0.2640249243911127,95,61,95,0,0,39,56,0.0038333885356609445
442,2025-11-03,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,0.32635778275475924,0.38855018389110757,95,57,95,0,0,45,50,0.002606615556259929
443,2025-11-04,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,0.26854703247480405,0.33836434807136695,95,58,95,0,0,38,57,0.0036109598427235055
444,2025-11-05,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,0.34928611422172445,0.3537523381530261,95,58,95,0,0,38,57,0.002984016469572274
445,2025-11-06,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,0.28898376259798436,0.25574172497277836,95,61,95,0,0,48,47,0.0013272332981854686
446,2025-11-07,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,0.16007867607162235,0.07790848119843952,96,55,96,0,0,47,49,0.0016523487980199206
447,2025-11-10,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.2719343461747152,-0.30502407207290333,96,44,96,0,0,41,55,0.001875754853019265
448,2025-11-11,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.2431226261530114,-0.29699907186579455,96,50,96,0,0,38,58,0.0028994705139120704
449,2025-11-12,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.25750135648399347,-0.39364790104541003,96,38,96,0,0,55,41,0.0032803523830926586
450,2025-11-13,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.36244214180517564,-0.44771849974956995,97,26,97,0,0,57,40,0.0034877951518359645
451,2025-11-14,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.45132021880917306,-0.4894793590896581,97,28,97,0,0,58,39,0.00524894199286552
452,2025-11-17,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.37236842105263157,-0.353982826967887,96,31,96,0,0,56,40,0.003062024117219649
453,2025-11-18,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.3917525773195876,-0.3390551909517362,96,34,96,0,0,51,45,0.0031762037417454396
454,2025-11-19,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.4537303309820944,-0.2788964934064162,96,38,96,0,0,42,54,0.0029561925544233036
455,2025-11-20,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.3408301682040152,-0.10182312600824663,96,50,96,0,0,35,61,0.002732053872062969
456,2025-11-21,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.3748372219207814,-0.3397867318524992,96,33,96,0,0,37,59,0.0037353113954060845
457,2025-11-24,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.2844411285946826,-0.34927478300543446,96,36,96,0,0,35,61,0.002685531227609533
458,2025-11-25,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.09206456863809008,-0.14844920947359957,96,41,96,0,0,49,47,0.002342993149383597
459,2025-11-26,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,-0.023412913727618015,-0.08405914556636358,96,49,96,0,0,50,46,0.002024191463519925
460,2025-11-27,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,0.05256375474769397,-0.04181655718392267,96,46,96,0,0,48,48,0.0022412825238533767
461,2025-11-28,V5,V5-2025-11-03-L0.1-H60,0.0016864423952503184,0.01035567223147261,,0.04612045577862181,0.06706443737766891,96,50,96,0,0,43,53,0.0014916458598909464
462,2025-12-01,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.25097666847531197,-0.23846295316714364,96,35,96,0,0,39,57,0.0017170963799336475
463,2025-12-02,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.28591969614758544,-0.23611044004969217,96,41,96,0,0,40,56,0.0012479670796957543
464,2025-12-03,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.2405995659251221,-0.2914618044177342,96,50,96,0,0,41,55,0.0013740510766094526
465,2025-12-04,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.2660200759631036,-0.23473120155925706,96,43,96,0,0,43,53,0.00134367030243675
466,2025-12-05,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,0.308776451437873,0.2518354341652325,96,67,96,0,0,51,45,0.0011540295560910272
467,2025-12-08,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,0.0702794357026587,0.023860412297693902,96,51,96,0,0,53,43,0.0020358657525893914
468,2025-12-09,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.26428377645143786,-0.33489141918982884,96,34,96,0,0,46,50,0.0016713503584992824
469,2025-12-10,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.20838307107976126,-0.28166234050985206,96,38,96,0,0,45,51,0.001605390267946278
470,2025-12-11,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.0896276595744681,-0.11384066713610533,95,42,95,0,0,45,50,0.001868934371877065
471,2025-12-12,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.2789193729003359,-0.269368619813222,95,43,95,0,0,38,57,0.00114092829417085
472,2025-12-15,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.38622620380739076,-0.3632647498146977,95,37,95,0,0,39,56,0.001265632406785528
473,2025-12-16,V5,V5-2025-12-01-L0.1-H60,0.00233827003387324,0.012000158384296014,,-0.42925531914893617,-0.2867128881765624,95,32,95,0,0,35,60,0.0015172938951919207
